Date,Aave,BinanceCoin,Bitcoin,Cardano,ChainLink,Cosmos,Dogecoin,EOS,Ethereum,Iota,Litecoin,Monero,NEM,Polkadot,Solana,Stellar,Tether,Tron,Uniswap,USDCoin,WrappedBitcoin,XRP
2013-08-30T23:59:59.948Z,,,133.4900055,,,,,,,,2.664459944,,,,,,,,,,,0.00593034
2013-08-31T23:59:59.948Z,,,135.3500061,,,,,,,,2.583830118,,,,,,,,,,,0.00563178
2013-09-01T23:59:59.948Z,,,138.3399963,,,,,,,,2.584189892,,,,,,,,,,,0.0057867
2013-09-02T23:59:59.948Z,,,135.8500061,,,,,,,,2.558059931,,,,,,,,,,,0.00552786
2013-09-03T23:59:59.948Z,,,136.7700043,,,,,,,,2.604099989,,,,,,,,,,,0.00566983
2013-09-04T23:59:59.948Z,,,126.7399979,,,,,,,,2.813630104,,,,,,,,,,,0.00569499
2013-09-05T23:59:59.948Z,,,126.4300003,,,,,,,,2.754909992,,,,,,,,,,,0.00571475
2013-09-06T23:59:59.948Z,,,119.1500015,,,,,,,,2.690409899,,,,,,,,,,,0.00586556
2013-09-07T23:59:59.948Z,,,124.1500015,,,,,,,,2.705229998,,,,,,,,,,,0.00617297
2013-09-08T23:59:59.948Z,,,121.6600037,,,,,,,,2.727619886,,,,,,,,,,,0.00618304
2013-09-09T23:59:59.948Z,,,127.1100006,,,,,,,,2.727780104,,,,,,,,,,,0.00627001
2013-09-10T23:59:59.948Z,,,125.9100037,,,,,,,,2.644109964,,,,,,,,,,,0.00580782
2013-09-11T23:59:59.948Z,,,135.25,,,,,,,,2.71717,,,,,,,,,,,0.00627323
2013-09-12T23:59:59.948Z,,,133.1300049,,,,,,,,2.695879936,,,,,,,,,,,0.00634863
2013-09-13T23:59:59.948Z,,,134.9799957,,,,,,,,2.672600031,,,,,,,,,,,0.00651311
2013-09-14T23:59:59.948Z,,,129.2200012,,,,,,,,2.541759968,,,,,,,,,,,0.00633984
2013-09-15T23:59:59.948Z,,,130.3699951,,,,,,,,2.639990091,,,,,,,,,,,0.00647177
2013-09-16T23:59:59.948Z,,,131.7200012,,,,,,,,2.633080006,,,,,,,,,,,0.00705616
2013-09-17T23:59:59.948Z,,,131.6600037,,,,,,,,2.601599932,,,,,,,,,,,0.00961293
2013-09-18T23:59:59.948Z,,,131.4700012,,,,,,,,2.555779934,,,,,,,,,,,0.0107819
2013-09-19T23:59:59.948Z,,,129.6499939,,,,,,,,2.617630005,,,,,,,,,,,0.0109578
2013-09-20T23:59:59.948Z,,,127.0400009,,,,,,,,2.477279902,,,,,,,,,,,0.0101131
2013-09-21T23:59:59.948Z,,,127.4300003,,,,,,,,2.510370016,,,,,,,,,,,0.00970027
2013-09-22T23:59:59.948Z,,,129.1199951,,,,,,,,2.529459953,,,,,,,,,,,0.0104061
2013-09-23T23:59:59.948Z,,,125.9499969,,,,,,,,2.471139908,,,,,,,,,,,0.0100077
2013-09-24T23:59:59.948Z,,,127.25,,,,,,,,2.468650103,,,,,,,,,,,0.0104484
2013-09-25T23:59:59.948Z,,,128.2200012,,,,,,,,2.370790005,,,,,,,,,,,0.0104329
2013-09-26T23:59:59.948Z,,,128.3800049,,,,,,,,2.391720057,,,,,,,,,,,0.0117134
2013-09-27T23:59:59.948Z,,,133.7799988,,,,,,,,2.400010109,,,,,,,,,,,0.014566
2013-09-28T23:59:59.948Z,,,134.7799988,,,,,,,,2.248130083,,,,,,,,,,,0.0138352
2013-09-29T23:59:59.948Z,,,137.3399963,,,,,,,,2.297699928,,,,,,,,,,,0.0128678
2013-09-30T23:59:59.948Z,,,133,,,,,,,,2.35277009,,,,,,,,,,,0.0109323
2013-10-01T23:59:59.948Z,,,132.1799927,,,,,,,,2.422859907,,,,,,,,,,,0.0105287
2013-10-02T23:59:59.948Z,,,114.1299973,,,,,,,,1.965319991,,,,,,,,,,,0.00786227
2013-10-03T23:59:59.948Z,,,123.6299973,,,,,,,,2.168469906,,,,,,,,,,,0.00911169
2013-10-04T23:59:59.948Z,,,129.0099945,,,,,,,,2.198329926,,,,,,,,,,,0.00987314
2013-10-05T23:59:59.948Z,,,128.5500031,,,,,,,,2.145499945,,,,,,,,,,,0.00948799
2013-10-06T23:59:59.948Z,,,129,,,,,,,,2.167200089,,,,,,,,,,,0.00981907
2013-10-07T23:59:59.948Z,,,126.9400024,,,,,,,,2.098320007,,,,,,,,,,,0.00923957
2013-10-08T23:59:59.948Z,,,126,,,,,,,,1.980720043,,,,,,,,,,,0.00945069
2013-10-09T23:59:59.948Z,,,130.6900024,,,,,,,,1.923760056,,,,,,,,,,,0.00966313
2013-10-10T23:59:59.948Z,,,130.5899963,,,,,,,,2.026760101,,,,,,,,,,,0.00986067
2013-10-11T23:59:59.948Z,,,130.8999939,,,,,,,,2.065599918,,,,,,,,,,,0.00897008
2013-10-12T23:59:59.948Z,,,135.1900024,,,,,,,,2.122479916,,,,,,,,,,,0.00938205
2013-10-13T23:59:59.948Z,,,138.1300049,,,,,,,,2.128580093,,,,,,,,,,,0.00841167
2013-10-14T23:59:59.948Z,,,140.5200043,,,,,,,,2.054399967,,,,,,,,,,,0.00848906
2013-10-15T23:59:59.948Z,,,145.2400055,,,,,,,,1.96073997,,,,,,,,,,,0.00805101
2013-10-16T23:59:59.948Z,,,142.5500031,,,,,,,,1.920150042,,,,,,,,,,,0.00730475
2013-10-17T23:59:59.948Z,,,146.25,,,,,,,,1.914409995,,,,,,,,,,,0.00834293
2013-10-18T23:59:59.948Z,,,155.9600067,,,,,,,,1.902709961,,,,,,,,,,,0.00794247
2013-10-19T23:59:59.948Z,,,172.4199982,,,,,,,,1.884549975,,,,,,,,,,,0.00725192
2013-10-20T23:59:59.948Z,,,174.6100006,,,,,,,,1.929440022,,,,,,,,,,,0.00669965
2013-10-21T23:59:59.948Z,,,182.2100067,,,,,,,,1.822100043,,,,,,,,,,,0.00663427
2013-10-22T23:59:59.948Z,,,193.7599945,,,,,,,,1.697340012,,,,,,,,,,,0.00684538
2013-10-23T23:59:59.948Z,,,213.6199951,,,,,,,,2.050780058,,,,,,,,,,,0.00787312
2013-10-24T23:59:59.948Z,,,198.2299957,,,,,,,,2.269730091,,,,,,,,,,,0.00859589
2013-10-25T23:59:59.948Z,,,186.6900024,,,,,,,,2.176810026,,,,,,,,,,,0.00686019
